Customer ID,Count,Gender,Age,Under 30,Senior Citizen,Married,Dependents,Number of Dependents,Country,State,City,Zip Code,Lat Long,Latitude,Longitude,Satisfication Score,Quarter,Referred a Friend,Number of Referrals,Tenure in Months,Offer,Phone Service,Avg Monthly Long Distance Charges,Multiple Lines,Internet Service,Internet Type,Avg Monthly GB Download,Online Security,Online Backup,Device Protection Plan,Premium Tech Support,Streaming TV,Streaming Movies,Streaming Music,Unlimited Data,Contract,Paperless Billing,Payment Method,Monthly Charge,Total Charges,Total Refunds,Total Extra Data Charges,Total Long Distance Charges,Total Revenue,Churn_Category
0650-BWOZN,1,Male,37,No,No,NaN,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,Q3,No,0,35,None,Yes,NaN,No,Yes,Fiber Optic,16,No,NaN,Yes,No,Yes,NaN,No,Yes,One Year,Yes,Bank Withdrawal,85.15,3030.6,0,0,892.85,3923.45,1
0562-FGDCR,1,NaN,54,No,No,No,No,0,NaN,California,Rosamond,93560,"34.903052, -118.411251",34.903052,-118.411251,1,Q3,No,0,1,Offer E,NaN,0,NaN,NaN,Cable,29,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,NaN,35.9,35.9,0,0,0,35.9,1
6688-UZPWD,1,Male,NaN,Yes,No,NaN,Yes,NaN,United States,NaN,Huntington Beach,92649,"33.721917, -118.043237",33.721917,-118.043237,NaN,Q3,Yes,4,35,Offer C,Yes,41.02,No,No,None,NaN,No,No,No,No,NaN,No,No,No,One Year,NaN,Bank Withdrawal,20.05,746.75,NaN,0,1435.7,2182.45,0
2905-KFQUV,1,Male,23,Yes,No,No,No,0,United States,California,San Jose,95129,"37.305622, -122.000887",NaN,-122.000887,3,Q3,No,0,7,Offer E,Yes,21.58,No,NaN,Fiber Optic,71,No,No,Yes,NaN,NaN,NaN,Yes,No,Month-to-Month,NaN,NaN,74.65,544.55,0,10,NaN,705.61,1
9720-JJJOR,1,Female,41,No,NaN,Yes,No,0,United States,California,Calpine,96124,"39.672813, -120.456699",39.672813,-120.456699,NaN,Q3,Yes,8,68,NaN,Yes,17.12,Yes,No,None,0,No,No,No,NaN,No,No,No,No,Two Year,No,Credit Card,25.8,1911.5,0,NaN,1164.16,3075.66,0
5236-PERKL,1,NaN,22,Yes,No,No,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No,0,2,NaN,Yes,NaN,NaN,Yes,Cable,27,No,No,NaN,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,181.5,0,0,80.86,262.36,1
0394-YONDK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Walnut,91789,"34.018354, -117.85492",34.018354,-117.85492,3,Q3,No,0,1,Offer E,Yes,32.73,Yes,No,None,0,No,No,No,No,No,No,No,No,NaN,No,NaN,25.4,25.4,NaN,0,NaN,58.13,0
0396-HUJBP,1,Female,37,NaN,No,Yes,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,Q3,Yes,2,9,None,Yes,42.39,No,Yes,Cable,NaN,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Credit Card,65.6,593.3,0,0,NaN,974.81,0
8200-LGKSR,1,Male,33,No,No,No,No,0,United States,California,Los Angeles,90047,NaN,33.958149,-118.308441,3,NaN,No,0,36,Offer C,Yes,8.5,No,NaN,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,18.55,689,NaN,0,306,995,0
3279-DYZQM,1,Female,32,No,No,No,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
3996-ZNWYK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Pacoima,91331,"34.255442, -118.421314",NaN,-118.421314,3,Q3,Yes,10,16,None,Yes,20.12,No,Yes,NaN,30,Yes,Yes,No,Yes,No,Yes,NaN,Yes,Two Year,No,Bank Withdrawal,68.25,1114.85,0,0,321.92,1436.77,0
0684-AOSIH,1,Female,21,Yes,NaN,Yes,Yes,2,United States,California,NaN,94305,"37.424342, -122.165641",37.424342,-122.165641,NaN,Q3,Yes,1,44,None,Yes,4.17,No,No,None,0,No,No,NaN,No,No,No,NaN,No,Month-to-Month,NaN,Credit Card,19.6,780.25,0,0,183.48,963.73,2
9500-LTVBP,1,Female,46,NaN,No,Yes,No,NaN,United States,California,Pacifica,NaN,"37.573633, -122.455167",37.573633,-122.455167,3,Q3,Yes,3,NaN,None,Yes,25.09,Yes,Yes,NaN,17,Yes,NaN,Yes,No,Yes,Yes,Yes,NaN,One Year,No,Bank Withdrawal,78.85,876.75,0,0,301.08,1177.83,0
5229-PRWKT,1,Female,49,No,No,Yes,No,0,United States,California,Montara,NaN,"37.540582, -122.509594",37.540582,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1679-JRFBR,1,Male,40,No,No,Yes,No,0,United States,California,Grizzly Flats,95636,NaN,38.636102,-120.522149,3,Q3,Yes,10,72,Offer A,Yes,48.44,Yes,Yes,Cable,NaN,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,NaN,82.3,5815.15,NaN,0,NaN,9302.83,0
1764-VUUMT,1,Female,NaN,NaN,No,No,Yes,3,NaN,California,Los Angeles,90063,"34.044271, -118.185237",34.044271,NaN,1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
7531-GQHME,1,Female,47,No,No,Yes,Yes,3,United States,California,Palmdale,93551,"34.613476, -118.256358",34.613476,-118.256358,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
4377-VDHYI,1,Male,50,No,No,Yes,Yes,3,United States,California,Fremont,94538,"37.505768, -121.962472",37.505768,-121.962472,4,Q3,Yes,5,35,Offer C,Yes,1.53,No,Yes,Fiber Optic,57,No,Yes,No,Yes,Yes,NaN,No,Yes,One Year,Yes,Bank Withdrawal,89.7,3165.6,0,0,NaN,3219.15,1
5533-NHFRF,1,Female,NaN,NaN,No,No,No,0,United States,California,Antioch,94509,"37.980057, -121.801599",37.980057,NaN,NaN,Q3,No,0,3,None,NaN,23.82,NaN,Yes,NaN,24,NaN,No,NaN,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,74.4,215.8,0,0,71.46,287.26,0
7516-GMHUV,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,NaN,96016,"40.936285, -121.572692",40.936285,-121.572692,4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
5197-PYEPU,NaN,Female,64,No,No,Yes,No,0,United States,California,Temecula,92592,"33.507255, -117.029473",33.507255,NaN,2,NaN,Yes,NaN,40,Offer B,Yes,2.03,Yes,NaN,Fiber Optic,19,No,No,NaN,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,84.85,3303.05,0,0,81.2,3384.25,0
6743-HHQPF,1,Male,NaN,NaN,No,Yes,No,0,United States,California,Pilot Hill,NaN,NaN,38.803731,-121.043799,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
2120-SMPEX,NaN,Female,39,No,No,Yes,No,0,United States,California,Huntington Beach,92647,NaN,33.723579,-118.005441,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
2898-LSJGD,1,Male,52,No,No,Yes,No,0,United States,California,Pasadena,91104,"34.165383, -118.123752",34.165383,-118.123752,5,Q3,Yes,1,65,Offer B,Yes,19.84,Yes,Yes,Fiber Optic,NaN,No,Yes,No,No,No,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,90.65,5931,0,NaN,1289.6,7330.6,0
0496-AHOOK,1,Male,80,No,Yes,Yes,No,0,NaN,California,San Lucas,93954,"36.125529, -120.864443",36.125529,-120.864443,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
6599-RCLCJ,1,Female,27,Yes,No,NaN,NaN,2,United States,California,Elmira,95625,"38.349195, -121.902943",38.349195,-121.902943,3,Q3,Yes,9,46,None,No,0,No,NaN,DSL,52,Yes,Yes,NaN,No,No,NaN,Yes,Yes,Month-to-Month,No,Bank Withdrawal,35.05,1620.25,0,0,0,1620.25,0
6693-DJWTY,1,Male,65,No,Yes,NaN,No,0,United States,NaN,Daly City,94015,"37.680844, -122.48131",37.680844,-122.48131,NaN,Q3,Yes,6,NaN,None,No,0,No,Yes,DSL,14,No,Yes,Yes,No,No,No,No,Yes,Month-to-Month,NaN,Credit Card,34.3,577.15,0,0,0,NaN,0
1661-CZBAU,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,NaN,Twin Bridges,95735,"38.805481, -120.13287",38.805481,-120.13287,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
2805-AUFQN,NaN,NaN,50,No,No,No,No,0,United States,California,NaN,95630,"38.672638, -121.147403",38.672638,-121.147403,5,Q3,No,NaN,28,Offer C,Yes,13.69,No,NaN,Fiber Optic,12,No,Yes,No,Yes,Yes,No,No,Yes,One Year,Yes,Bank Withdrawal,91.25,NaN,0,0,383.32,2866.97,1
0841-NULXI,1,NaN,28,Yes,No,Yes,Yes,NaN,United States,NaN,Colfax,95713,"39.084645, -120.894014",39.084645,-120.894014,3,Q3,Yes,1,71,Offer A,Yes,20.49,NaN,No,None,0,No,No,No,No,No,No,No,NaN,Two Year,NaN,Credit Card,NaN,1397.3,0,0,1454.79,2852.09,0
0263-FJTQO,NaN,Female,63,NaN,No,No,NaN,0,United States,California,Manteca,95336,"37.830267, -121.201018",NaN,-121.201018,3,Q3,NaN,0,60,Offer B,Yes,39.41,Yes,No,NaN,0,No,No,No,NaN,No,No,No,No,NaN,No,Mailed Check,25,1505.05,0,0,2364.6,3869.65,1
5302-BDJNT,1,Male,NaN,No,No,Yes,Yes,3,United States,California,Meadow Vista,NaN,NaN,39.003358,-121.022539,4,Q3,Yes,7,70,None,Yes,3.67,No,Yes,Fiber Optic,28,No,Yes,Yes,Yes,NaN,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,106.15,7475.1,0,0,256.9,7732,5
3280-NMUVX,1,Male,47,No,No,No,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4,Q3,No,0,NaN,NaN,Yes,47.45,Yes,NaN,DSL,5,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,65.75,1111.2,0,0,806.65,1917.85,0
1820-TQVEV,1,Female,74,No,Yes,Yes,No,0,United States,California,Los Olivos,93441,"34.70434, -120.02609",NaN,-120.02609,4,Q3,Yes,2,NaN,None,Yes,12.33,NaN,Yes,Cable,23,No,NaN,Yes,Yes,Yes,No,No,Yes,One Year,No,Bank Withdrawal,64.2,2106.3,0,0,419.22,2525.52,0
1100-DDVRV,1,Female,57,No,No,No,No,0,United States,California,Gardena,90248,"33.876482, -118.284077",33.876482,NaN,3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
9779-DPNEJ,1,Female,65,No,Yes,No,NaN,0,United States,California,NaN,NaN,"40.524535, -122.647172",40.524535,-122.647172,NaN,NaN,No,0,46,None,Yes,16.04,Yes,Yes,DSL,26,No,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,NaN,69.1,3255.35,0,0,737.84,3993.19,4
8878-RYUKI,1,Male,NaN,No,NaN,NaN,Yes,2,United States,California,Walnut Creek,94596,"37.900662, -122.052782",37.900662,-122.052782,3,NaN,Yes,6,22,None,Yes,36.15,Yes,NaN,DSL,11,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,78.65,1663.75,0,0,NaN,NaN,0
8409-WQJUX,1,Male,73,No,Yes,Yes,No,0,NaN,California,Placentia,92870,"33.881158, -117.854783",33.881158,-117.854783,3,Q3,Yes,10,72,Offer A,NaN,NaN,Yes,Yes,Fiber Optic,30,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,93.05,6735.05,0,0,96.48,6831.53,3
7493-TPUWZ,NaN,Male,77,No,Yes,Yes,No,0,United States,California,Menifee,NaN,"33.653338, -117.178271",33.653338,-117.178271,5,Q3,Yes,1,29,Offer C,Yes,NaN,Yes,Yes,DSL,NaN,No,No,No,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,NaN,1442,0,0,NaN,2533.85,0
