Customer_ID,Count,Gender,Age,Under_30,Senior_Citizen,Married,Dependents,Number_of_Dependents,Country,State,City,Zip_Code,Lat_Long,Latitude,Longitude,Satisfication_Score,Quarter,Referred_a_Friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Churn_Category
0650-BWOZN,1,1,37,0,0,2,0,0,1,1,1012,nan,1526,nan,nan,1,0,0,0,35,0,1,nan,0,1,2,16,0,2,1,0,1,2,0,1,1,1,0,85.15,3030.6,0,0,892.85,3923.45,1
0562-FGDCR,1,2,54,0,0,0,0,0,1,0,759,93560,630,34.903052,-118.411251,1,0,0,0,1,5,2,0,2,2,0,29,0,0,0,0,0,1,1,1,0,0,3,35.9,35.9,0,0,0,35.9,1
6688-UZPWD,1,1,nan,1,0,2,1,nan,0,1,389,92649,178,33.721917,-118.043237,nan,0,1,4,35,3,1,41.02,0,0,3,nan,0,0,0,0,2,0,0,0,1,2,0,20.05,746.75,nan,0,1435.7,2182.45,0
2905-KFQUV,1,1,23,1,0,0,0,0,0,0,786,95129,863,nan,-122.000887,3,0,0,0,7,5,1,21.58,0,2,2,71,0,0,1,2,2,2,1,0,0,2,3,74.65,544.55,0,10,nan,705.61,1
9720-JJJOR,1,0,41,0,2,1,0,0,0,0,121,96124,1382,39.672813,-120.456699,nan,0,1,8,68,6,1,17.12,1,0,3,0,0,0,0,2,0,0,0,0,2,0,1,25.8,1911.5,0,nan,1164.16,3075.66,0
5236-PERKL,1,2,22,1,0,0,0,0,1,1,1012,nan,1526,nan,nan,nan,1,0,0,2,6,1,nan,2,1,0,27,0,0,2,0,1,0,1,1,0,1,0,85.65,181.5,0,0,80.86,262.36,1
8200-LGKSR,1,1,33,0,0,0,0,0,0,0,500,90047,1526,33.958149,-118.308441,3,1,0,0,36,3,1,8.5,0,2,3,0,0,0,0,0,0,0,0,0,2,1,1,18.55,689,nan,0,306,995,0
3279-DYZQM,1,0,32,0,0,0,2,0,1,1,1012,nan,1526,nan,nan,nan,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
3996-ZNWYK,nan,2,nan,2,2,2,2,nan,0,0,650,91331,555,nan,-118.421314,3,0,1,10,16,0,1,20.12,0,1,4,30,1,1,0,1,0,1,2,1,2,0,0,68.25,1114.85,0,0,321.92,1436.77,0
9500-LTVBP,1,0,46,2,0,1,0,nan,0,0,649,nan,940,37.573633,-122.455167,3,0,1,3,nan,0,1,25.09,1,1,4,17,1,2,1,0,1,1,1,2,1,0,0,78.85,876.75,0,0,301.08,1177.83,0
5229-PRWKT,1,0,49,0,0,1,0,0,0,0,565,nan,930,37.540582,nan,5,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,0
1764-VUUMT,1,0,nan,2,0,0,1,3,1,0,500,90063,386,34.044271,nan,1,1,2,nan,nan,6,2,nan,2,2,4,nan,2,2,2,2,2,2,2,2,3,2,3,nan,nan,nan,nan,nan,nan,2
