Age,Married,Gender,Number_of_Dependents(mean/93460.99382 as:0.458579),Zip_Code,Total_Revenue,Satisfication_Score,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Churn_Category
37,0.466172382,2,0,93460.99382,3923.45,1,0,35,0,1,23.00672558,0,1,1,16,0,0.334686232,1,0,1,0.379523662,0,1,365,1,1,85.15,3030.6,0,0,892.85,1
54,0,1.507892293,0,93560,35.9,1,0,1,5,0.905519177,0,0.417030568,0.774630542,2,29,0,0,0,0,0,1,1,1,30,0,1.505276226,35.9,35.9,0,0,0,1
46.78522868,0.466172382,2,0.458721291,92649,2182.45,3.260452152,4,35,3,1,41.02,0,0,0,20.32366698,0,0,0,0,0.377661216,0,0,0,365,0.578473945,1,20.05,746.75,2.040018645,0,1435.7,0
23,0,2,0,95129,705.61,3,0,7,5,1,21.58,0,0.774630542,1,71,0,0,1,0.284119107,0.377661216,0.379523662,1,0,30,0.578473945,1.505276226,74.65,544.55,0,10,751.9429664,1
41,1,1,0,96124,3075.66,3.260452152,8,68,1.390003085,1,17.12,1,0,0,0,0,0,0,0.284119107,0,0,0,0,730,0,2,25.8,1911.5,0,6.506550218,1164.16,0
22,0,1.507892293,0,93460.99382,262.36,3.260452152,0,2,1.390003085,1,23.00672558,0.417030568,1,2,27,0,0,0.333333333,0,1,0,1,1,30,1,1,85.65,181.5,0,0,80.86,1
33,0,2,0,90047,995,3,0,36,3,1,8.5,0,0.774630542,0,0,0,0,0,0,0,0,0,0,730,1,2,18.55,689,2.040018645,0,306,0
32,0,1,0,93460.99382,3025.38111,3.260452152,1.840825123,32.40104487,1.390003085,0.905519177,23.00672558,0.417030568,0.774630542,1.370243294,20.32366698,0.284034653,0.334686232,0.333333333,0.284119107,0.377661216,0.379523662,0.346009975,0.666460778,292.0086393,0.578473945,1.505276226,64.19761171,2259.597129,2.040018645,6.506550218,751.9429664,0
46.78522868,0.466172382,1.507892293,0.458721291,91331,1436.77,3,10,16,0,1,20.12,0,1,1.370243294,30,1,1,0,1,0,1,0.346009975,1,730,0,1,68.25,1114.85,0,0,321.92,0
46,1,1,0.458721291,93460.99382,1177.83,3,3,32.40104487,0,1,25.09,1,1,1.370243294,17,1,0.334686232,1,0,1,1,1,0.666460778,365,0,1,78.85,876.75,0,0,301.08,0
