Customer_ID,Count,Gender,Age,Under_30,Senior_Citizen,Married,Dependents,Number_of_Dependents,Country,State,City,Zip_Code,Lat_Long,Latitude,Longitude,Satisfication_Score,Quarter,Referred_a_Friend,Number_of_Referrals,Tenure_in_Months,Offer,Phone_Service,Avg_Monthly_Long_Distance_Charges,Multiple_Lines,Internet_Service,Internet_Type,Avg_Monthly_GB_Download,Online_Security,Online_Backup,Device_Protection_Plan,Premium_Tech_Support,Streaming_TV,Streaming_Movies,Streaming_Music,Unlimited_Data,Contract,Paperless_Billing,Payment_Method,Monthly_Charge,Total_Charges,Total_Refunds,Total_Extra_Data_Charges,Total_Long_Distance_Charges,Total_Revenue,Churn_Category,,,,Churn_Category,Monthly_Charge
0650-BWOZN,1,Male,37,No,No,NaN,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,Q3,No,0,35,None,Yes,NaN,No,Yes,Fiber Optic,16,No,NaN,Yes,No,Yes,NaN,No,Yes,One Year,Yes,Bank Withdrawal,85.15,3030.6,0,0,892.85,3923.45,1,,,,1,85.15
0562-FGDCR,1,NaN,54,No,No,No,No,0,NaN,California,Rosamond,93560,"34.903052, -118.411251",34.903052,-118.411251,1,Q3,No,0,1,Offer E,NaN,0,NaN,NaN,Cable,29,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,No,NaN,35.9,35.9,0,0,0,35.9,1,,,,1,35.9
6688-UZPWD,1,Male,NaN,Yes,No,NaN,Yes,NaN,United States,NaN,Huntington Beach,92649,"33.721917, -118.043237",33.721917,-118.043237,NaN,Q3,Yes,4,35,Offer C,Yes,41.02,No,No,None,NaN,No,No,No,No,NaN,No,No,No,One Year,NaN,Bank Withdrawal,20.05,746.75,NaN,0,1435.7,2182.45,0,,,,0,20.05
2905-KFQUV,1,Male,23,Yes,No,No,No,0,United States,California,San Jose,95129,"37.305622, -122.000887",NaN,-122.000887,3,Q3,No,0,7,Offer E,Yes,21.58,No,NaN,Fiber Optic,71,No,No,Yes,NaN,NaN,NaN,Yes,No,Month-to-Month,NaN,NaN,74.65,544.55,0,10,NaN,705.61,1,,,,1,74.65
9720-JJJOR,1,Female,41,No,NaN,Yes,No,0,United States,California,Calpine,96124,"39.672813, -120.456699",39.672813,-120.456699,NaN,Q3,Yes,8,68,NaN,Yes,17.12,Yes,No,None,0,No,No,No,NaN,No,No,No,No,Two Year,No,Credit Card,25.8,1911.5,0,NaN,1164.16,3075.66,0,,,,0,25.8
5236-PERKL,1,NaN,22,Yes,No,No,No,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,No,0,2,NaN,Yes,NaN,NaN,Yes,Cable,27,No,No,NaN,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,85.65,181.5,0,0,80.86,262.36,1,,,,1,85.65
8200-LGKSR,1,Male,33,No,No,No,No,0,United States,California,Los Angeles,90047,NaN,33.958149,-118.308441,3,NaN,No,0,36,Offer C,Yes,8.5,No,NaN,None,0,No,No,No,No,No,No,No,No,Two Year,Yes,Credit Card,18.55,689,NaN,0,306,995,0,,,,0,18.55
3279-DYZQM,1,Female,32,No,No,No,NaN,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
3996-ZNWYK,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,United States,California,Pacoima,91331,"34.255442, -118.421314",NaN,-118.421314,3,Q3,Yes,10,16,None,Yes,20.12,No,Yes,NaN,30,Yes,Yes,No,Yes,No,Yes,NaN,Yes,Two Year,No,Bank Withdrawal,68.25,1114.85,0,0,321.92,1436.77,0,,,,0,68.25
9500-LTVBP,1,Female,46,NaN,No,Yes,No,NaN,United States,California,Pacifica,NaN,"37.573633, -122.455167",37.573633,-122.455167,3,Q3,Yes,3,NaN,None,Yes,25.09,Yes,Yes,NaN,17,Yes,NaN,Yes,No,Yes,Yes,Yes,NaN,One Year,No,Bank Withdrawal,78.85,876.75,0,0,301.08,1177.83,0,,,,0,78.85
5229-PRWKT,1,Female,49,No,No,Yes,No,0,United States,California,Montara,NaN,"37.540582, -122.509594",37.540582,NaN,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,,,,0,NaN
